system_id,RetirementSystemName,NumberofPlans,NumberofEmployers,fy,fund_id,actives_tot,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,beneficiaries_ServiceRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,BegMktAssets_net,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net,ppd_system_directory_listed,RetirementSystemDesc,sys_DataStartYear,sys_DataEndYear,RetirementSystemStateAbbrev,Source,L
1,Alabama ERS,2,1141,2001,1,78019.0,7033.0,,26653.0,,,,,,,111705.0,8172310.0,133080.0,130081.0,,,,,1370.0,264531.0,-909810.0,,,,354709.0,,,,,,,,,,-1624.0,,-19829.0,-19439.0,,-290634.0,,-387370.0,,-24985.0,,,,,,-1544.0,-4850.0,-330.0,-2693.0,-421772.0,,7459904.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2002,1,80582.0,7835.0,,27335.0,,,,,,,115752.0,7459904.0,151401.0,132109.0,,,,,2176.0,285686.0,-986224.0,,,,307622.0,,,,,,,,,,-2416.0,,-4504.0,-4169.0,,-394007.0,,-406626.0,,-24994.0,,,,,,-8388.0,-5888.0,-235.0,-2022.0,-448153.0,,6617744.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2003,1,81876.0,9006.0,,25973.0,,,,,,,119566.0,6617744.0,162105.0,162855.0,,,,,2521.0,327481.0,681444.0,,,,279667.0,,,,,,,,,,-2408.0,,-2449.0,-2181.0,,1287257.0,,-440991.0,,-25139.0,,,,,,-820.0,-6165.0,-278.0,-2125.0,-475518.0,,7429483.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2004,1,82642.0,9490.0,,29227.0,,,,,923.0,,122282.0,7429483.0,169343.0,179707.0,,,,,1639.0,350689.0,472717.0,,,,276094.0,,,,,,,,,,-2402.0,,-3688.0,-3401.0,,1098411.0,,-466561.0,,-31509.0,,,,,,-3798.0,-6236.0,-269.0,-2210.0,-510583.0,,8017311.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2005,1,81581.0,9552.0,,30270.0,,,,,1440.0,,122843.0,8017311.0,160478.0,204789.0,,,,,2233.0,367500.0,557703.0,,,,303051.0,,,,,,,,,,-2654.0,,-15766.0,-15310.0,,1227860.0,,-505549.0,,-31011.0,,,,,,,-7279.0,-294.0,-3111.0,-547244.0,,8697927.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2006,1,83170.0,10008.0,,31787.0,,,,,1753.0,,126718.0,8697927.0,186482.0,250666.0,,,,,3141.0,440289.0,386240.0,,,,339057.0,,,,,,,,,,-3218.0,,-34029.0,-33428.0,,1164744.0,,-570570.0,,-31825.0,,,,,,,-8282.0,-337.0,-3368.0,-614382.0,,9248289.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2007,1,84814.0,10467.0,,32866.0,,,,,1905.0,,130052.0,9248289.0,184150.0,286561.0,,,,,2626.0,473337.0,1275483.0,,,,355772.0,,,,,,,,,,-3727.0,,-57225.0,-56480.0,,2104510.0,,-637017.0,,-32012.0,,,,,,,-8287.0,-298.0,-3034.0,-680648.0,,10672151.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2008,1,87016.0,10921.0,,34117.0,,,,,2039.0,,134093.0,10672151.0,192319.0,339219.0,,,,,2042.0,533580.0,-1966656.0,,,,347784.0,,,,,,,,,,-3755.0,,-30012.0,-27947.0,,-1078836.0,,-678054.0,,-31470.0,,,,,,,-10418.0,-311.0,-3541.0,-723794.0,,8869521.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2009,1,88338.0,11500.0,,35256.0,,,,,2184.0,,137278.0,8869521.0,211049.0,461465.0,,,,,1933.0,674447.0,-1187135.0,,,,292048.0,,,,,,,,,,-2662.0,,-5252.0,-3189.0,,-212676.0,,-719251.0,,-32785.0,,,,,,-14.0,-9965.0,-2038.0,-2772.0,-766825.0,,7890020.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2010,1,87989.0,11838.0,,36733.0,,,,,2371.0,,138931.0,7890020.0,197534.0,388712.0,,,,,1790.0,588036.0,442652.0,,,,275218.0,,,,,,,,,,-2398.0,,-2658.0,-1316.0,,1306638.0,,-750186.0,,-34103.0,,,,,,,-10651.0,-2111.0,-1633.0,-798684.0,,8397974.0,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
