,Year,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
0,2000,171658429.0,11426989.0,32021508.0,16454965.0,50805728.0,38606307.0,22342932.0,43448497.0,90576104.0,37633828.0,84240933.0,87417496.0
1,2001,173267981.0,11528049.0,32069071.0,16864289.0,50475602.0,39862051.0,22468919.0,43597120.0,91496945.0,38173916.0,85083723.0,88184258.0
2,2002,174844583.0,11627833.0,32116123.0,17169251.0,50103380.0,41220338.0,22607658.0,43743956.0,91787868.0,39312759.0,85891054.0,88953529.0
3,2003,176346884.0,11736541.0,32109325.0,17433691.0,49704217.0,42541398.0,22821712.0,43845866.0,92152796.0,40348222.0,86619810.0,89727074.0
4,2004,178073659.0,11857675.0,32131038.0,17672870.0,49507826.0,43854161.0,23050089.0,43988713.0,92686269.0,41398677.0,87524791.0,90548868.0
5,2005,179954809.0,11958889.0,32250977.0,17751954.0,49382506.0,45256719.0,23353764.0,44209866.0,93185943.0,42559000.0,88468055.0,91486754.0
6,2006,182012490.0,12008529.0,32463646.0,17832257.0,49386416.0,46590755.0,23730887.0,44472175.0,93778177.0,43762138.0,89511599.0,92500891.0
7,2007,184098405.0,12165673.0,32609922.0,17943818.0,49420539.0,47791138.0,24167315.0,44775595.0,94352173.0,44970637.0,90554112.0,93544293.0
8,2008,186102330.0,12295724.0,32652169.0,18158386.0,49428547.0,48778505.0,24788999.0,44947893.0,94909684.0,46244753.0,91550392.0,94551938.0
9,2009,187891939.0,12316140.0,32739470.0,18339041.0,49372563.0,49785847.0,25338878.0,45055610.0,95277707.0,47558622.0,92447638.0,95444301.0
10,2010,189558674.0,12283066.0,32821898.0,18473911.0,49387795.0,50699702.0,25892302.0,45104964.0,95499886.0,48953824.0,93281526.0,96281172.0
11,2011,190979440.0,12218103.0,32795920.0,18696171.0,49520877.0,51309922.0,26438447.0,45014023.0,95679625.0,50285792.0,94010066.0,96989437.0
12,2012,192428283.0,12110611.0,32818516.0,18907418.0,49738588.0,51278790.0,27574360.0,44929127.0,95800331.0,51698825.0,94760920.0,97702990.0
13,2013,193821964.0,12018719.0,32882091.0,19013627.0,50024412.0,51359233.0,28523882.0,44900810.0,95866273.0,53054881.0,95478115.0,98394813.0
14,2014,195376501.0,12026452.0,32927356.0,19001974.0,50407506.0,51518133.0,29495080.0,44953808.0,95979489.0,54443204.0,96269121.0,99172121.0
15,2015,197009940.0,12067676.0,32985966.0,18878565.0,50841841.0,51797125.0,30438767.0,45053642.0,96107484.0,55848814.0,97107518.0,99983156.0
16,2016,198678535.0,12103796.0,33039752.0,18727168.0,51336534.0,52040035.0,31431250.0,45143548.0,96287439.0,57247548.0,97947561.0,100833949.0
17,2017,200167079.0,12111436.0,33054576.0,18602200.0,51889976.0,52087286.0,32421605.0,45166012.0,96452524.0,58548543.0,98688149.0,101585577.0
18,2018,201437882.0,12054641.0,32995988.0,18559882.0,52419798.0,51947755.0,33459818.0,45050629.0,96571730.0,59815523.0,99304438.0,102235973.0
19,2019,202630379.0,11958565.0,32970850.0,18513383.0,52943316.0,51700181.0,34544084.0,44929415.0,96645579.0,61055385.0,99867929.0,102836109.0
